"序号","代码","名称","最新价","涨跌幅","成交额","今开","市盈率(静)","总市值","流通市值","5日涨跌幅","10日涨跌幅","20日涨跌幅","60日涨跌幅","120日涨跌幅","250日涨跌幅","年初至今涨跌幅","所属行业"
"16","RES","RPC Inc","11.720","7.33%","30855376","10.980","390.666","2537307265.68","895315974.56","6.06%","2.09%","2.27%","107.80%","111.93%","111.55%","158.15%","石油和天然气设备和服务"
"17","OXY","西方石油","61.800","7.14%","2523033676","57.700","39.113","57900988374.6","57573140425.2","6.35%","5.26%","6.64%","78.27%","88.18%","142.72%","113.69%","油气E&P"
"18","SBSW","Sibanye Stillwater","17.120","7.00%","108136777","16.950","5.631","12019978827.04","11394058102.24","3.13%","-0.81%","-0.58%","17.47%","17.31%","-5.46%","40.32%","黄金"
"19","BWV","Blue Water Vaccines","10.850","6.69%","134672045","12.680","亏损","119877168.95","24111108.7","-82.48%","-78.77%","-82.53%","20.56%","20.56%","20.56%","20.56%","生物技术"
"20","PSFE","Paysafe","3.170","6.02%","47804478","3.100","亏损","2295080000","1216304965.06","-10.70%","-10.96%","3.93%","-19.34%","-58.88%","-76.91%","-18.93%","信息技术处"
"21","DISCA","探索频道-A","24.430","5.90%","540062418","23.070","15.863","12415845210.79","7982981987.61","-2.36%","-10.68%","1.83%","-15.14%","-0.97%","-36.35%","3.78%","-"
"22","LGHL","狮子集团控股","1.820","5.81%","5241544","1.850","亏损","73401069.56","50986684.84","11.02%","1.11%","121.95%","38.93%","-20.87%","-43.13%","37.88%","资本市场"
"23","HAL","哈里伯顿","39.940","5.80%","468055859","38.190","24.503","35968318232.36","35724766149.3","3.53%","2.67%","6.76%","46.08%","54.41%","86.21%","75.27%","石油和天然气设备和服务"
"24","MULN","Mullen Automotive","2.510","5.46%","355801866","2.205","亏损","600800146.08","523295758.66","-12.54%","6.81%","85.93%","-41.76%","-66.62%","-76.16%","-52.01%","汽车制造商"
"25","EQT","EQT能源","38.310","5.42%","405743236","36.960","亏损","14405450707.5","14405450707.5","6.33%","11.59%","41.89%","56.25%","92.09%","118.69%","76.67%","油气E&P"
"26","EOG","EOG能源","126.880","5.19%","571859906","122.000","15.879","74277983528.32","74012879568.16","5.44%","1.90%","9.68%","25.44%","47.71%","83.04%","45.13%","油气E&P"
"27","AR","Antero Resources","33.140","5.14%","229695727","31.930","亏损","10429379308.92","9533187942.6","6.66%","6.08%","24.26%","59.63%","67.29%","249.95%","89.37%","油气E&P"
"28","RLX","雾芯科技","1.870","5.06%","14824617","1.810","9.211","2927916665.19","648064525.9","1.08%","-4.59%","25.50%","-51.93%","-68.41%","-79.67%","-52.05%","烟草"
"29","IPI","Intrepid Potash","106.910","5.04%","144309701","104.270","5.729","1455940791.98","918536294.98","29.57%","19.76%","26.99%","149.44%","151.32%","237.04%","150.20%","农业投入"
"30","BEKE","贝壳","15.220","4.82%","156337307","14.720","亏损","18219418154.36","8022848374.92","8.64%","25.47%","51.59%","-33.19%","-30.06%","-69.20%","-24.35%","房地产服务"
"31","GOGO","Gogo Inc","19.970","4.66%","44558110","18.890","15.601","2214241288.54","905341108.26","5.11%","4.12%","17.19%","49.81%","20.81%","86.11%","47.60%","电信业务"
"32","BRCC","BRC","29.450","4.47%","68572662","28.000","亏损","5725989563.25","848275915.2","34.05%","47.62%","79.03%","191.87%","203.61%","0.00%","190.15%","包装食品"
"33","SWN","美国西南能源","8.000","4.30%","293907386","7.850","亏损","8914555552","8077400824","8.84%","16.28%","44.40%","58.73%","64.61%","91.85%","71.67%","油气E&P"
"34","CAH","卡地纳健康","61.900","4.24%","301622797","59.880","29.759","17150100164.8","17102740536.7","7.47%","7.72%","18.76%","20.80%","32.32%","5.53%","21.25%","医疗分销"
"35","SSRM","SSR Mining","22.810","4.20%","41903490","22.030","13.993","4844387891.24","4844387891.24","2.66%","3.31%","2.47%","32.53%","45.33%","50.52%","29.31%","黄金"
"36","IMPP","Imperial Petroleum","1.260","4.13%","22333464","1.170","亏损","88122159.72","86819075.28","-4.55%","-26.74%","-65.10%","-37.00%","215.00%","215.00%","-41.12%","油气E&P"
"37","SBLK","Star Bulk Carriers","28.300","4.08%","55066062","27.770","4.217","2894941651.4","1894634937.3","-6.79%","-3.81%","-6.07%","32.91%","39.96%","120.36%","33.73%","海运"
"38","MRO","马拉松石油","25.900","3.89%","413120345","25.080","21.583","18926817721.7","17534731519.9","0.58%","-0.54%","11.78%","38.89%","58.73%","136.95%","58.26%","油气E&P"
"39","SLB","斯伦贝谢","42.550","3.86%","444882606","41.330","32.234","59713890696.75","59534154050.35","2.06%","-2.59%","-0.82%","17.10%","25.48%","58.28%","42.51%","石油和天然气设备和服务"
"40","SEAC","SeaChange International","1.220","3.83%","33083239","1.260","亏损","59994334.48","50214858.4","8.93%","-2.40%","7.96%","-26.95%","25.83%","2.52%","-23.75%","软件 - 应用"
"41","GRAB","Grab Holdings","3.610","3.74%","65531680","3.510","亏损","13505335192.41","6772732523.12","4.03%","9.39%","14.97%","-42.24%","-66.20%","-74.93%","-49.37%","资产管理"
"42","DVN","戴文能源","62.370","3.55%","623262650","60.340","14.885","41426154000","41167602532.98","3.35%","-0.21%","6.36%","27.09%","59.49%","195.82%","43.97%","油气E&P"
"43","LPLA","LPL Financial","194.980","3.42%","267951156","189.260","34.632","15592429907.38","15495202350.46","6.33%","3.93%","24.54%","9.09%","13.40%","32.73%","21.99%","资本市场"
"44","AEM","伊格尔矿业","65.130","3.41%","194209912","63.490","29.337","29672360273.01","29570485359.87","2.92%","4.96%","6.07%","24.86%","16.82%","10.44%","23.50%","黄金"
"45","AMR","Alpha Metallurgical","132.420","3.39%","43873013","130.160","8.654","2456035849.56","2043253709.58","-1.79%","0.27%","-0.23%","86.72%","107.26%","807.61%","116.90%","炼焦煤"
"46","MOS","美国美盛","73.860","3.27%","612761453","73.240","17.297","26736537157.86","26628645128.82","12.11%","3.53%","19.28%","76.62%","77.18%","123.54%","88.40%","农业投入"
"47","DVA","德维特","122.070","3.23%","144652398","118.750","13.715","11700640578.51","11700640578.51","6.94%","6.72%","11.00%","7.38%","9.15%","12.79%","7.30%","医疗设施"
"48","COP","康菲石油","103.050","3.09%","633562783","100.690","16.976","133558082033.85","133394228721","2.46%","-3.85%","5.03%","23.08%","40.66%","101.97%","43.92%","油气E&P"
"49","KR","克罗格","61.670","2.99%","650054321","62.000","28.419","44606418544.1","36774751538.63","7.29%","8.19%","10.34%","31.42%","58.79%","68.84%","36.88%","杂货店"
"50","ARCH","Arch Resources","145.940","2.91%","160110221","143.240","7.601","2258724325.5","2079955414.38","3.53%","1.34%","-4.62%","47.26%","46.39%","209.94%","60.16%","热煤"
"51","CVS","西维斯健康","106.610","2.90%","823507542","104.400","17.917","139999578651.24","139319851628.16","5.46%","-1.80%","3.03%","1.32%","27.61%","45.40%","3.90%","医疗保健计划"
"52","WOLF","Wolfspeed","103.780","2.85%","183907450","100.240","亏损","12824622321.3","12751104984.42","-8.10%","-7.91%","12.73%","-6.08%","18.07%","-6.25%","-7.15%","半导体"
"53","CF","CF工业控股","108.210","2.85%","416681021","107.310","25.521","22628194126.26","22317320863.56","8.44%","-1.20%","12.66%","59.99%","79.02%","133.89%","53.48%","农业投入"
"54","HD","家得宝","311.110","2.76%","1779239344","301.460","20.032","321490399193.68","321117152748.93","3.05%","0.14%","-1.79%","-19.62%","-11.47%","-0.77%","-24.58%","家居装修零售"
"55","LU","陆金所控股","5.600","2.75%","25173920","5.480","5.333","13479264478.4","6461902272","4.38%","-1.34%","26.91%","12.06%","-14.79%","-56.65%","5.50%","信贷服务"
"56","TME","腾讯音乐","4.910","2.72%","111832590","4.780","17.535","8310527876.79","3539554310.75","-1.80%","-1.01%","42.73%","-33.11%","-36.40%","-72.95%","-28.32%","互联网内容与信息"
"57","DLTR","美元树公司","162.920","2.72%","375783864","158.510","28.089","36674974800.68","36155221714.48","2.19%","4.16%","10.81%","19.01%","61.39%","41.79%","15.94%","折扣店"
"58","LEGN","传奇生物","41.560","2.62%","26327264","40.520","亏损","6409733384.56","1698285937.88","6.29%","12.69%","15.54%","-11.48%","-19.32%","55.31%","-10.83%","生物技术"
"59","HYZN","Hyzon Motors","5.100","2.62%","14401972","4.950","亏损","1264065865.2","456765674.7","-17.21%","-20.06%","-10.68%","-15.98%","-9.73%","-50.58%","-21.42%","汽车制造商"
"60","OLN","欧林","55.280","2.56%","99559591","54.160","6.944","8524654282.56","7836525857.44","3.95%","5.60%","13.58%","1.48%","8.63%","39.48%","-3.51%","特种化学品"
"61","GGPI","Gores Guggenheim","12.210","2.52%","34217730","11.840","亏损","1221000000","976800000","6.54%","5.99%","12.12%","4.00%","21.98%","22.10%","4.36%","空壳公司"
"62","TAL","好未来","3.270","2.51%","19073184","3.240","亏损","2111306591.16","1446309770.82","0.93%","6.86%","62.69%","-10.66%","-27.49%","-94.36%","-16.79%","教育及培训服务"
"63","NEGG","Newegg Commerce","7.830","2.49%","24405575","7.430","97.875","2886629034.96","94955059.89","20.46%","51.74%","73.23%","-10.82%","-43.63%","-7.01%","-24.49%","互联网零售"
"64","AMPH","Amphastar Pharmaceuticals","41.160","2.46%","32018009","40.280","32.928","1981724963.4","1434238433.88","10.02%","12.95%","20.00%","60.72%","116.29%","136.55%","76.73%","药品制造商-专业和非专利"
"65","M","梅西百货","23.730","2.46%","288713957","23.180","5.215","6759758720.19","6739471658.43","-2.10%","-9.39%","1.05%","-10.26%","-14.92%","44.00%","-8.75%","百货商店"
"66","CPE","卡隆石油","61.960","2.43%","112337675","61.220","8.534","3981795085.52","2614467505.84","-0.74%","-0.43%","5.55%","14.00%","17.10%","67.32%","31.13%","油气E&P"
"67","RH","Restoration Hardware","335.780","2.43%","441528898","324.670","15.173","7289371126.38","5508494068.82","4.75%","-4.60%","3.29%","-29.01%","-51.31%","-44.28%","-37.35%","专业零售"
"68","REGN","再生元制药公司","738.840","2.36%","761276546","725.000","10.265","80193163112.88","76528992525.84","6.33%","8.65%","14.98%","17.01%","35.95%","53.55%","16.99%","生物技术"
"69","MAC","马塞里奇房产","14.090","2.32%","31452874","13.790","201.285","3022579247.76","2792443910.25","-9.91%","-4.80%","-2.02%","-21.57%","-21.12%","18.56%","-17.71%","-"
"70","GS","高盛","321.390","2.30%","1054758335","313.580","5.406","108605063328.3","108069811744.77","-2.67%","-4.77%","-1.72%","-17.17%","-21.44%","-2.29%","-15.49%","资本市场"
"71","TGT","塔吉特","233.340","2.26%","1549493420","233.000","16.548","107900633620.5","107593699817.88","10.83%","6.74%","12.74%","4.40%","-7.29%","15.08%","1.26%","折扣店"
"72","FSLY","Fastly","18.120","2.20%","181607450","17.730","亏损","2179836000","1962443383.8","-3.15%","8.63%","30.45%","-45.44%","-59.53%","-74.81%","-48.89%","软件 - 应用"
"73","TEVA","梯瓦制药","10.400","2.16%","100167866","10.220","27.368","11474628838.4","11419596052.8","10.76%","20.65%","39.04%","15.17%","6.23%","-4.41%","29.84%","药品制造商-专业和非专利"
"74","DE","迪尔股份","418.300","2.16%","558981976","413.140","22.027","128327883984.1","118549805249.3","0.36%","-3.91%","7.67%","11.46%","26.76%","10.88%","22.30%","农重工程机械"
"75","GILD","吉利德科学","62.300","2.15%","664353057","61.280","12.636","78235527670.3","78041687512.6","4.41%","5.75%","8.78%","-12.67%","-3.28%","-0.38%","-13.11%","药品制造商-通用"
"76","XOM","埃克森美孚","86.840","2.10%","2157123419","85.170","16.111","366957506365.8401","364728000000","4.48%","1.92%","2.26%","23.42%","42.24%","59.89%","43.49%","油气一体化"
"77","WFC","富国银行","48.730","2.07%","1149308437","48.000","9.844","185251412819.11","185043993233","0.04%","-7.29%","0.54%","-13.21%","-0.59%","17.79%","2.02%","银行-综合性"
"78","GOLD","巴里克黄金","25.410","2.05%","384181092","24.900","22.289","45212801650.17","44947848480.15","1.88%","3.55%","4.35%","32.93%","34.82%","22.64%","34.33%","黄金"
"79","BP","英国石油","30.470","2.04%","471009802","29.920","13.602","98880268381.07","97922222018.06","2.11%","-1.87%","7.78%","-1.31%","4.82%","24.96%","15.59%","油气一体化"
"80","CHEK","Check-Cap","0.378","1.99%","173582","0.380","亏损","44050281.501","35027577.191","-3.98%","-0.63%","-4.73%","-43.22%","-54.95%","-74.60%","-43.92%","诊断与研究"
"81","LOW","劳氏","206.660","1.98%","1043892195","201.030","17.164","136718257638.02","136584848068.36","2.10%","-2.94%","-7.00%","-17.30%","-6.15%","4.00%","-19.78%","家居装修零售"
"82","TELL","Tellurian","5.750","1.95%","94251035","5.640","亏损","2981337038.5","2457467493.25","-9.31%","-1.54%","42.33%","70.12%","53.74%","186.07%","86.69%","油气E&P"
"83","BRK.B","伯克希尔-B","353.100","1.90%","1583036978","348.930","8.907","780235083978.9","637069629678.9","0.35%","-1.58%","8.11%","10.21%","24.95%","31.99%","18.09%","保险-综合性"
"84","NVAX","诺瓦瓦克斯医药","60.630","1.90%","222239472","59.660","亏损","4625037441.18","4492525604.52","-18.42%","-18.21%","-16.93%","-53.42%","-63.53%","-69.89%","-57.62%","生物技术"
"85","BBIG","Vinco Ventures","2.770","1.84%","39247647","2.690","亏损","518135682.61","483757661.35","-8.28%","-6.10%","29.44%","-3.82%","-66.71%","25.91%","16.39%","休闲"
"86","JG","极光","1.110","1.83%","59282","1.070","亏损","131595709.23","42342987.96","0.00%","0.91%","15.06%","11.61%","-27.45%","-68.47%","6.73%","软件 - 应用"
"87","JPM","摩根大通","133.490","1.83%","1744598001","131.670","8.690","392429930138.54","389507236003.3401","-0.61%","-5.24%","4.34%","-20.16%","-18.77%","-9.47%","-14.56%","银行-综合性"
"88","BRK.A","伯克希尔-A","529000.000","1.78%","1126105275","524139.260","8.896","779277306000","636287548000","0.23%","-1.85%","8.00%","9.82%","24.12%","31.27%","17.38%","保险-综合性"
"89","T","AT&T","24.140","1.73%","1328610704","23.670","8.746","172915574761.24","172149211571.7","0.67%","1.26%","4.10%","-8.73%","-2.76%","-14.00%","0.12%","电信业务"
"90","DG","美国达乐公司","245.800","1.70%","669737248","244.120","24.169","56235320308.6","55733172784.8","8.88%","11.26%","19.90%","7.78%","15.53%","16.06%","4.66%","折扣店"
"91","C","花旗集团","50.880","1.70%","1366009826","49.840","5.017","100966272000","100715335656","-2.77%","-10.33%","-6.06%","-23.78%","-27.87%","-28.13%","-15.08%","银行-综合性"
"92","CVX","雪佛龙","169.930","1.69%","1832576203","167.050","20.875","333889009685.87","318736416499.13","3.48%","0.37%","-0.57%","34.86%","58.54%","70.90%","46.33%","油气一体化"
"93","PBR","巴西石油公司","15.690","1.69%","411881948","15.390","5.161","102334078415.85","64725409544.52","3.91%","6.81%","14.03%","30.53%","60.90%","127.64%","42.90%","油气一体化"
"94","UNH","联合健康","545.960","1.68%","2172103762","539.000","30.196","513693297750.16","510913717663.32","6.51%","6.42%","13.07%","15.59%","29.38%","47.31%","9.05%","医疗保健计划"
"95","QFIN","360数科","14.310","1.63%","12424227","14.180","2.537","2221534241.73","1046527849.44","-8.39%","-8.45%","9.89%","-29.70%","-29.42%","-39.20%","-36.60%","信贷服务"
"96","VZ","Verizon","53.530","1.63%","1324864543","52.730","10.062","224826000000","221359348059.46","3.98%","5.71%","2.16%","1.36%","5.68%","-2.81%","5.58%","电信业务"
"97","GM","通用汽车","39.350","1.63%","869497107","38.350","5.873","57176389610.95","54317817242.5","-8.40%","-9.85%","-5.20%","-35.52%","-30.83%","-32.71%","-32.88%","汽车制造商"
"98","RF","地区金融","20.750","1.62%","160800092","20.610","8.333","19445782280.5","19397739577.25","-3.35%","-11.48%","-5.29%","-15.62%","-6.64%","0.77%","-4.09%","银行-区域"
"99","VRTX","福泰制药","280.280","1.61%","439471406","274.410","31.107","71621055225.72","71083861889.04","5.31%","10.37%","18.52%","23.94%","55.02%","29.08%","27.63%","生物技术"
"100","ACH","中国铝业","14.530","1.61%","858448","14.450","134.537","9893577518.54","6516786266.29","-3.33%","-3.58%","-1.02%","-5.95%","-22.26%","22.10%","5.83%","铝"
"101","NTR","Nutrien","106.020","1.60%","327160031","106.050","19.206","58449129217.2","58449129217.2","2.17%","-1.76%","5.05%","47.34%","50.06%","93.25%","41.66%","农业投入"
"102","XCUR","Exicure","0.212","1.58%","17274230","0.224","亏损","26068927.787","16714200.243","15.63%","-18.35%","7.55%","11.27%","-81.70%","-88.83%","5.05%","生物技术"
"103","KHC","卡夫亨氏","40.940","1.56%","267945867","40.500","49.926","50147166173.48","28906253077.38","2.53%","4.20%","9.58%","10.92%","13.45%","6.03%","15.25%","包装食品"
"104","SPG","西蒙地产","127.470","1.56%","229779907","126.090","18.635","41886146269.17","41519737068.39","-4.16%","-2.07%","-1.98%","-20.28%","-9.74%","17.23%","-19.20%","-"
"105","ABC","美源伯根","165.440","1.55%","334332006","163.520","22.387","34599696253.76","24763583313.92","5.70%","6.95%","14.44%","22.30%","40.72%","42.22%","24.90%","医疗分销"
"106","SNP","中石化","51.150","1.41%","3935954","50.680","5.482","61927923915","18650832786.3","-1.22%","5.94%","15.65%","-0.08%","-1.04%","1.76%","9.98%","油气一体化"
"107","ADM","Archer Daniels Midland","95.250","1.35%","449826666","95.070","19.885","53575979779.5","53316186642.75","4.48%","1.88%","13.94%","35.98%","50.92%","66.35%","41.67%","农产品"
"108","NEM","纽曼矿业","82.120","1.35%","344588805","81.920","56.246","65080291093.24","64969976915.76","-0.80%","4.02%","6.80%","34.44%","48.14%","37.35%","33.35%","黄金"
"109","ORLY","奥莱利","736.470","1.33%","351581967","725.000","23.680","48825303079.77","48483187724.79","10.34%","4.71%","9.09%","7.73%","15.37%","42.26%","4.28%","专业零售"
"110","NRG","NRG Energy","39.550","1.31%","82184885","39.240","4.428","9577199836.05","9577199836.05","2.99%","6.81%","2.78%","-3.46%","-1.42%","6.85%","-7.38%","公用事业-独立发电商"
"111","BG","邦吉","118.250","1.29%","158990874","118.000","8.669","16878044573.5","16748336621.5","4.85%","0.89%","7.57%","20.59%","39.50%","51.20%","27.32%","农产品"
"112","PWR","广达服务","133.990","1.29%","221951546","133.000","40.116","19119075172.86","18843268147.01","1.85%","-0.18%","8.71%","21.72%","19.06%","42.86%","16.99%","工程建设"
"113","ARI","阿波罗商业房地产","13.410","1.28%","10823621","13.260","9.184","1884660294.69","1730886389.82","-5.30%","-4.11%","2.62%","-0.21%","-8.28%","-0.73%","4.42%","REIT- 抵押"
"114","HP","赫尔默里奇和佩恩材料","45.290","1.27%","53957269","45.050","亏损","4778305372.05","4623404559.34","2.47%","2.33%","8.14%","59.80%","34.46%","73.22%","92.57%","油气钻井"
"115","MPC","马拉松原油","86.900","1.22%","442990594","86.520","5.702","49117006050.2","48934357110.1","2.46%","5.68%","10.69%","19.79%","33.01%","67.17%","36.81%","油气炼制与营销"
"116","SHEL","Shell PLC","56.090","1.21%","300689138","55.610","10.912","214010854572.85","213626849195.61","0.66%","0.90%","10.13%","16.66%","16.17%","60.10%","30.55%","油气一体化"
"117","FFIE","Faraday Future Intelligent Electric Inc.","4.240","1.19%","6410026","4.060","亏损","1375288553.92","470207994.88","-13.65%","-23.05%","-22.20%","-22.49%","-53.46%","-63.73%","-20.30%","汽车制造商"
"118","IRNT","IronNet","3.440","1.18%","3098805","3.350","亏损","327995375.92","188151319.44","-6.78%","-12.47%","-14.43%","-5.75%","-65.84%","-65.36%","-18.10%","软件-基础设施"
"119","ANTM","Anthem","520.670","1.17%","713042238","518.030","21.054","125639945807.23","125422520783.94","4.27%","8.30%","11.91%","15.56%","34.88%","45.26%","12.64%","医疗保健计划"
"120","MRNA","Moderna","160.840","1.16%","883522743","156.790","5.685","64798091068.24","59109094701.36","-8.92%","-3.06%","16.38%","-27.84%","-51.97%","0.51%","-36.67%","生物技术"
"121","MS","摩根士丹利","84.060","1.12%","583345518","83.530","10.468","148954320000","119976294092.22","-3.37%","-9.01%","-1.31%","-17.86%","-15.95%","6.73%","-13.77%","资本市场"
"122","TSN","泰森食品","92.440","1.09%","171303074","91.790","11.083","33506336148.56","26415360255.92","1.54%","6.34%","5.48%","2.37%","17.62%","20.74%","6.58%","农产品"
"123","EDU","新东方","12.030","1.09%","153954337","11.510","6.015","2041450314.54","1760147627.58","-0.58%","-4.52%","17.94%","-37.99%","-49.03%","-91.81%","-42.71%","教育及培训服务"
"124","ZTS","Zoetis","200.090","1.09%","491653882","197.790","46.859","94292515746.44","94134192533.04","4.70%","5.63%","7.99%","-5.83%","-1.02%","23.38%","-17.87%","药品制造商-专业和非专利"
"125","CI","信诺","257.900","1.09%","384109453","256.290","16.395","83288289200","82942158773.1","4.73%","5.88%","13.68%","8.52%","27.30%","5.30%","12.84%","医疗保健计划"
"126","LLY","礼来","311.690","1.06%","940219270","308.000","50.929","296837075702.94","282005893653.52","6.50%","7.84%","17.04%","22.30%","31.40%","72.91%","13.31%","药品制造商-通用"
"127","VEON","VEON Ltd","0.587","1.03%","5825847","0.590","亏损","1026038135.186","480265552.086","-20.07%","5.03%","59.10%","-65.49%","-73.93%","-66.29%","-65.70%","电信业务"
"128","MOXC","魔线","1.990","1.02%","3592711","1.910","497.500","38489642.71","21428970.73","27.56%","19.16%","33.88%","-33.00%","-70.08%","-51.70%","-30.42%","广告公司"
"129","MRK","默沙东","87.680","1.01%","997227528","86.640","17.058","221685998492.8","220186276634.24","4.98%","7.79%","13.03%","8.94%","15.75%","24.75%","15.42%","药品制造商-通用"
"130","FCX","麦克莫兰銅金","48.970","1.01%","471042748","48.910","16.886","71240628263.35","70946385407.4","-3.91%","-5.70%","4.35%","8.82%","27.49%","35.89%","17.74%","铜"
"131","LNTH","Lantheus","60.190","0.99%","84877404","59.320","亏损","4078080697.21","3966841632.13","3.14%","20.62%","16.15%","123.09%","164.69%","181.92%","108.34%","诊断与研究"
"132","ABBV","艾伯维公司","174.960","0.97%","1256546157","173.000","27.125","309029210303.04","308546966130.48","7.55%","8.45%","17.38%","28.76%","64.55%","70.84%","30.56%","药品制造商-通用"
"133","SO","美国南方公司","76.490","0.96%","285017112","75.990","34.147","81096731639.63","80855004040.64","3.20%","7.84%","11.36%","14.01%","25.05%","24.73%","12.68%","公用事业-受管制的电力"
"134","NVCT","Nuvectis Pharma","9.450","0.96%","316137","9.190","亏损","120183153.3","30240000","34.62%","25.83%","14.27%","89.00%","89.00%","89.00%","89.00%","生物技术"
"135","ACC","美国校园社区公司","57.460","0.95%","70633482","57.090","239.416","7995956220.98","7862234332.16","0.03%","3.83%","5.35%","3.70%","13.72%","38.11%","1.20%","-"
"136","ZTO","中通快递","25.660","0.94%","95904008","25.300","28.197","20744783095.74","10307420312.4","0.53%","1.91%","14.32%","-17.99%","-16.54%","-12.30%","-8.17%","综合货运物流"
"137","NLY","Annaly Capital Management","6.750","0.90%","103553949","6.700","4.218","9861832701","9431566654.5","-4.39%","-4.32%","-1.89%","-13.91%","-16.70%","-15.04%","-11.05%","REIT- 抵押"
"138","PTR","中石油","52.750","0.88%","6333057","52.200","6.711","96543565789.5","15383340075","2.09%","0.40%","6.46%","6.35%","1.34%","57.06%","19.32%","油气一体化"
"139","DOGZ","多尼斯","5.950","0.85%","2958952","5.950","119.000","212045469.3","158084919.3","-4.03%","31.06%","41.00%","104.47%","67.13%","265.03%","-29.25%","家庭及个人产品"
"140","D","道明尼资源","88.380","0.82%","208948679","88.130","22.206","71647359370.38","71014249593.9","2.37%","5.25%","7.44%","12.36%","24.96%","18.06%","13.44%","公用事业-受管制的电力"
"141","STZ","星座品牌","244.460","0.81%","309993326","241.840","亏损","46389822825.12","29456393245.14","4.60%","6.56%","15.10%","-1.16%","14.14%","8.27%","-2.28%","饮料-酒厂和酿酒厂"
"142","PG","宝洁","160.100","0.78%","967004595","159.700","29.109","383770219530.6","383337138784.2","3.23%","4.76%","11.79%","1.23%","13.79%","20.96%","-1.60%","家庭及个人产品"
"143","MA","万事达","352.270","0.78%","788336756","347.300","40.213","344335625166.5301","343320792364.27","-3.08%","1.07%","8.61%","-3.96%","-1.45%","-6.40%","-1.70%","信贷服务"
"144","CCI","冠城国际","198.020","0.76%","248898985","196.490","78.268","85748532877.16","84980279633.66","4.75%","11.51%","15.02%","5.43%","19.90%","16.10%","-4.33%","REIT-专业"
"145","O","Realty Income","72.160","0.75%","202812199","71.700","82.942","43144538613.44","43078514883.36","1.78%","6.57%","10.81%","1.49%","8.17%","18.85%","1.89%","-"
"146","AEHL","Antelope Enterprise","1.360","0.74%","226610","1.360","亏损","8070854.72","5530797.68","1.49%","12.40%","24.77%","-17.17%","-51.94%","-57.37%","-14.47%","建筑产品和设备"
"147","BYDDY","比亚迪(ADR)","60.090","0.74%","5273504.117","60.370","133.533","87465287048.43","87465287048.43","3.96%","10.08%","26.64%","-11.08%","-16.10%","33.50%","-10.98%","-"
