"序号","代码","名称","最新价","涨跌幅","成交额","今开","市盈率(静)","总市值","流通市值","5日涨跌幅","10日涨跌幅","20日涨跌幅","60日涨跌幅","120日涨跌幅","250日涨跌幅","年初至今涨跌幅","所属行业","昨收","最高","最低"
"17","EPAM","EPAM Systems","308.690","10.13%","493745125","283.560","37.876","17557836203.91","17014172919.36","7.54%","15.72%","54.24%","-45.95%","-51.22%","-28.28%","-53.82%","信息技术处","280.290","321.210","280.000"
"18","STKL","SunOpta","5.950","9.98%","9891318","5.420","亏损","638980442.45","574595212.8","15.76%","14.64%","29.63%","-1.49%","-26.90%","-61.69%","-14.39%","包装食品","5.410","5.960","5.300"
"19","PSMT","普尔斯玛特","87.850","9.61%","25227313","82.220","27.625","2712275453.3","2375464000","11.17%","10.57%","16.99%","20.39%","13.02%","-0.56%","20.80%","折扣店","80.150","88.300","81.230"
"20","NAT","Nordic American Tankers","2.840","8.81%","38550397","2.730","亏损","552264088.24","538587616.68","30.28%","50.26%","40.59%","64.93%","18.72%","-6.31%","68.83%","海运","2.610","2.930","2.690"
"21","LAND","Gladstone Land","40.360","8.73%","27259706","37.440","亏损","1393229944.48","1323747460","5.27%","11.65%","12.72%","25.44%","75.20%","105.55%","20.05%","REIT-工业","37.120","40.795","37.440"
"22","BRY","贝利石油","12.380","8.69%","9743604","11.470","亏损","999803105.2","906348305.06","12.65%","10.54%","25.81%","32.79%","46.73%","105.49%","47.93%","油气E&P","11.390","12.470","11.470"
"23","AFI","Armstrong Flooring","1.900","8.57%","896601","1.780","亏损","41381192.5","34021854.1","30.14%","28.38%","25.83%","-11.21%","-39.10%","-62.89%","-4.04%","建筑产品和设备","1.750","2.000","1.750"
"24","EURN","Euronav","13.010","8.42%","71469920","12.120","亏损","2623830532.81","2018133069.81","17.95%","25.22%","22.97%","38.55%","20.95%","56.06%","46.34%","油气中流","12.000","13.240","12.090"
"25","NEX","NexTier Oilfield Solutions","10.470","8.16%","32379006","9.790","亏损","2552530456.65","1656942424.47","3.05%","10.56%","17.11%","81.14%","106.51%","168.46%","194.93%","石油和天然气设备和服务","9.680","10.555","9.730"
"26","NRP","Natural Resource","45.410","8.12%","2616248","41.700","9.440","567897278.36","396097171.26","5.65%","4.18%","16.56%","20.31%","70.34%","178.83%","37.52%","热煤","42.000","45.550","41.700"
"27","HYMC","Hycroft Mining","2.160","8.00%","72950917","1.920","亏损","425095471.44","288832400.64","0.00%","68.75%","14.89%","339.47%","34.58%","-41.94%","251.96%","黄金","2.000","2.195","1.830"
"28","SIEN","Sientra","2.300","7.98%","2490507","2.150","亏损","142722176","140837654.9","5.99%","-4.56%","-0.43%","-27.90%","-57.33%","-67.83%","-37.33%","医疗设备","2.130","2.305","2.000"
"29","EXTN","Exterran","6.990","7.87%","2896787","6.410","亏损","232886109.6","166437547.92","11.31%","5.11%","12.56%","101.44%","37.33%","109.91%","134.56%","石油和天然气设备和服务","6.480","7.000","6.380"
"30","PRSO","Peraso","2.250","7.66%","162106","2.220","亏损","48552543","31429467","1.35%","4.65%","5.14%","-38.02%","-60.66%","-39.68%","-46.43%","半导体","2.090","2.260","2.220"
"31","PRPH","ProPhase Labs","8.080","7.59%","495779","7.610","20.200","125126072","99733185.28","10.53%","9.63%","21.50%","7.56%","48.51%","68.56%","18.06%","药品制造商-专业和非专利","7.510","8.080","7.360"
"32","SYRS","Syros Pharmaceuticals","1.150","7.48%","1047811","1.070","亏损","71395446.55","54586315.15","3.60%","10.58%","0.00%","-61.28%","-73.62%","-82.65%","-64.72%","生物技术","1.070","1.180","1.050"
"33","FLMN","Falcon Minerals","7.500","7.45%","7068893","7.030","26.785","648369652.5","257505127.5","9.81%","6.69%","28.21%","53.38%","24.56%","82.64%","58.11%","油气E&P","6.980","7.560","7.030"
"34","RAD","来爱德","7.510","7.44%","62804678","7.010","亏损","418924126.74","406873618.29","-9.74%","-22.97%","-17.47%","-40.11%","-44.98%","-60.58%","-48.88%","医药零售商","6.990","7.520","6.810"
"35","CZOO","Cazoo","3.200","7.38%","8069371","2.980","亏损","2430245792","1106563865.6","14.70%","22.14%","32.23%","-32.91%","-55.62%","-68.35%","-46.93%","软件 - 应用","2.980","3.260","2.870"
"36","CONN","科恩","16.550","7.33%","8432256","15.330","4.584","399264993.15","390603765.8","9.89%","-14.56%","-10.64%","-30.61%","-28.20%","-24.01%","-29.63%","专业零售","15.420","16.620","15.250"
"37","RES","RPC Inc","11.720","7.33%","30855376","10.980","390.666","2537307265.68","895315974.56","6.06%","2.09%","2.27%","107.80%","111.93%","111.55%","158.15%","石油和天然气设备和服务","10.920","12.140","10.960"
"38","CTRA","Coterra Energy","28.750","7.32%","288462973","27.180","12.554","23395541005","22936706932.5","6.09%","-0.55%","12.17%","30.41%","46.20%","82.64%","54.71%","油气E&P","26.790","28.840","27.120"
"39","CNDT","Conduent","5.770","7.25%","24570830","5.350","亏损","1242976458.1","1140740159.18","11.18%","18.72%","33.56%","-1.54%","-13.88%","-15.89%","8.05%","信息技术处","5.380","5.890","5.350"
"40","SOXS","Direxion每日半导体三倍做空ETF","49.080","7.16%","479373743","46.820","-","269940000","269940000","24.10%","40.63%","-5.98%","40.23%","-23.79%","-44.60%","43.51%","-","45.800","49.310","46.700"
"41","OXY","西方石油","61.800","7.14%","2523033676","57.700","39.113","57900988374.6","57573140425.2","6.35%","5.26%","6.64%","78.27%","88.18%","142.72%","113.69%","油气E&P","57.680","62.090","57.561"
"42","OCN","Ocwen Financial","21.610","7.14%","1760655","20.250","11.196","198991622.32","160994910.59","-10.89%","-13.32%","-11.36%","-46.28%","-30.85%","-17.83%","-45.93%","抵押融资","20.170","21.830","20.250"
"43","TNP","Tsakos Energy Navigation","10.670","7.13%","2629071","10.060","亏损","245375802.65","140282288.52","15.48%","20.56%","32.05%","27.63%","14.00%","15.41%","47.38%","油气中流","9.960","10.825","9.970"
"44","WDFC","WD-40","186.880","7.09%","83491971","194.020","36.715","2552963942.4","2523859811.84","1.01%","0.90%","-1.64%","-24.38%","-18.12%","-26.29%","-23.37%","特种化学品","174.510","199.300","185.100"
"45","VTGN","VistaGen Therapeutics","1.360","7.09%","2969276","1.250","亏损","280878018.8","210289744.32","18.26%","15.25%","14.29%","-19.05%","-40.87%","-35.24%","-30.26%","生物技术","1.270","1.430","1.190"
"46","BCTX","BriaCell Therapeutics","11.900","7.01%","20890735","11.140","亏损","181823384.4","148898155","14.98%","23.70%","41.00%","47.10%","51.59%","271.88%","43.72%","生物技术","11.120","12.090","10.823"
"47","SBSW","Sibanye Stillwater","17.120","7.00%","108136777","16.950","5.631","12019978827.04","11394058102.24","3.13%","-0.81%","-0.58%","17.47%","17.31%","-5.46%","40.32%","黄金","16.000","17.470","16.890"
"48","FANH","泛华控股集团","7.380","6.96%","184117","7.000","10.109","396266066.82","289265778.9","0.54%","2.93%","11.14%","2.93%","-42.46%","-40.90%","1.37%","保险经纪","6.900","7.440","7.000"
"49","MRAI","Marpai","1.560","6.85%","68330","1.450","亏损","31667574.12","11212500","-8.24%","-32.76%","-12.85%","-47.30%","-61.00%","-61.00%","-64.38%","医疗保健计划","1.460","1.590","1.450"
"50","AUMN","黄金矿业","0.509","6.73%","358143","0.477","亏损","82916388.891","62403914.784","1.88%","-6.21%","-15.00%","38.40%","3.83%","-23.09%","45.81%","其他贵金属和采矿","0.477","0.510","0.477"
"51","ALZN","Alzamend Neuro","1.120","6.67%","1362891","1.060","亏损","100914937.76","56863107.84","-3.45%","-8.94%","16.67%","-39.13%","-50.44%","-96.14%","-41.05%","生物技术","1.050","1.140","1.030"
"52","EGLE","伊格尔散货航运","66.570","6.58%","49406112","63.110","5.646","907566317.91","887394143.37","-3.80%","1.96%","4.29%","52.58%","56.35%","103.04%","51.01%","海运","62.460","67.020","63.000"
"53","RLAY","Relay Therapeutics","32.650","6.49%","24188970","30.660","亏损","3535343436.6","2439241928.2","3.22%","13.72%","37.76%","24.86%","1.97%","-4.11%","6.32%","生物技术","30.660","32.950","30.350"
"54","DISH","Dish Network","32.340","6.42%","88885580","30.510","8.532","17108067073.02","7938953433.18","0.43%","4.63%","7.62%","-11.08%","-25.45%","-14.17%","-0.31%","娱乐","30.390","32.508","30.400"
"55","OSS","One Stop Systems","4.150","6.41%","1053867","4.010","34.583","78344459.45","63087291.55","6.14%","4.27%","1.97%","-10.94%","-16.33%","-27.19%","-16.16%","计算机硬件","3.900","4.200","4.010"
"56","PLX","Protalix Biotherapeutics","1.500","6.38%","6773680","1.470","亏损","69474193.5","56587876.5","42.86%","28.76%","72.41%","64.91%","22.95%","-75.29%","80.35%","生物技术","1.410","1.590","1.420"
"57","TARA","Protara Therapeutics","5.190","6.35%","259947","4.750","亏损","58397501.13","31130372.55","3.39%","-6.65%","22.12%","-19.16%","-22.88%","-69.45%","-23.11%","生物技术","4.880","5.190","4.750"
"58","LABD","Direxion每日标普生物技术三倍做空ETF","33.850","6.28%","162038450","32.020","-","84625000","84625000","9.19%","-6.62%","-26.64%","-0.65%","48.53%","46.98%","31.51%","-","31.850","34.090","31.480"
"59","ICVX","Icosavax","9.100","6.18%","4994583","8.550","亏损","361497318","171460225.3","34.22%","106.35%","-40.37%","-48.27%","-61.94%","-39.33%","-60.23%","生物技术","8.570","9.490","8.369"
"60","MIND","米奇汗姆租赁","1.220","6.09%","47723","1.150","亏损","16804406.88","15622656.32","-3.56%","1.67%","3.39%","-27.16%","-29.48%","-47.19%","-27.74%","科技仪器","1.150","1.230","1.150"
"61","PUMP","ProPetro Holding","14.850","6.07%","14827535","14.210","亏损","1540037322.45","1187997995.25","3.70%","1.85%","2.20%","49.85%","45.59%","36.49%","83.33%","石油和天然气设备和服务","14.000","14.850","14.110"
"62","PSFE","Paysafe","3.170","6.02%","47804478","3.100","亏损","2295080000","1216304965.06","-10.70%","-10.96%","3.93%","-19.34%","-58.88%","-76.91%","-18.93%","信息技术处","2.990","3.440","3.070"
"63","DISCA","探索频道-A","24.430","5.90%","540062418","23.070","15.863","12415845210.79","7982981987.61","-2.36%","-10.68%","1.83%","-15.14%","-0.97%","-36.35%","3.78%","-","23.070","24.515","22.780"
"64","QD","趣店","1.260","5.88%","812523","1.200","3.500","318891129.48","235963161","1.61%","3.28%","75.00%","8.62%","-21.25%","-37.62%","30.02%","信贷服务","1.190","1.270","1.190"
"65","LGHL","狮子集团控股","1.820","5.81%","5241544","1.850","亏损","73401069.56","50986684.84","11.02%","1.11%","121.95%","38.93%","-20.87%","-43.13%","37.88%","资本市场","1.720","2.040","1.660"
"66","DISCK","探索频道-C","24.420","5.81%","222137699","23.150","15.857","12410762998.26","7979775292.5","-2.51%","-10.58%","1.88%","-12.63%","2.13%","-26.18%","6.64%","娱乐","23.080","24.500","22.780"
"67","HAL","哈里伯顿","39.940","5.80%","468055859","38.190","24.503","35968318232.36","35724766149.3","3.53%","2.67%","6.76%","46.08%","54.41%","86.21%","75.27%","石油和天然气设备和服务","37.750","40.000","38.150"
"68","CRESY","Cresud","8.400","5.79%","1844460","8.000","亏损","495341490","283999665.6","0.24%","-0.94%","7.28%","71.78%","48.15%","49.73%","77.97%","企业集团","7.940","8.500","8.000"
"69","AFYA","Afya Ltd","15.360","5.79%","4481218","15.520","36.141","1396457149.44","468589255.68","13.11%","-1.09%","23.18%","16.10%","-21.51%","-28.66%","-2.23%","教育及培训服务","14.520","15.920","14.950"
"70","SELF","Global Self Storage Inc","6.040","5.78%","309417","5.776","18.303","65077714.24","59966986.36","6.71%","9.42%","10.52%","-0.90%","18.14%","27.75%","7.19%","REIT-工业","5.710","6.040","5.715"
"71","SMHI","Seacor Marine","7.860","5.65%","421610","7.490","6.046","204298982.82","150534940.08","-3.56%","6.50%","33.67%","93.12%","50.86%","54.12%","131.18%","海运","7.440","7.860","7.220"
"72","DHT","DHT控股","6.600","5.60%","39102439","6.280","亏损","1099816502.4","938068500.6","12.63%","16.61%","19.78%","17.45%","-1.70%","16.17%","27.63%","油气中流","6.250","6.670","6.270"
"73","FPI","Farmland Partners","14.910","5.59%","25071792","14.120","亏损","691791898.77","581667891.21","6.35%","11.67%","9.46%","26.70%","27.88%","20.82%","25.22%","REIT-专业","14.120","15.060","14.120"
"74","BRDS","Bird Global","2.270","5.58%","1955042","2.130","亏损","624551347.04","354025114","-5.81%","-12.69%","-43.53%","-48.76%","-77.25%","-77.55%","-63.21%","租赁服务","2.150","2.300","2.080"
"75","NRT","北欧皇家石油信托","19.900","5.57%","2025396","19.030","-","182892741","182892741","23.14%","19.66%","42.65%","78.73%","108.68%","350.25%","102.83%","油气E&P","18.850","19.900","18.480"
"76","XIN","鑫苑置业","1.140","5.56%","41807","1.090","亏损","61421900.4","27769490.28","4.59%","-1.72%","75.41%","72.73%","-2.56%","-55.81%","80.95%","房地产-开发","1.080","1.150","1.080"
"77","FLNT","Fluent","1.720","5.52%","343561","1.610","亏损","136319664.68","66222739.96","-14.43%","-16.50%","-3.37%","-8.51%","-23.21%","-57.00%","-13.57%","广告公司","1.630","1.760","1.610"
"78","ERX","每日两倍做多能源ETF-Direxion","59.950","5.51%","394453944","57.130","-","737385000","737385000","6.29%","1.77%","8.17%","56.81%","92.20%","159.51%","103.58%","-","56.820","60.230","57.130"
"79","MULN","Mullen Automotive","2.510","5.46%","355801866","2.205","亏损","600800146.08","523295758.66","-12.54%","6.81%","85.93%","-41.76%","-66.62%","-76.16%","-52.01%","汽车制造商","2.380","2.770","2.150"
"80","WEJO","Wejo Group","3.670","5.46%","426302","3.480","亏损","347424939.32","148767633.8","-4.68%","-8.71%","-1.61%","-35.84%","-63.15%","-62.63%","-46.35%","软件-基础设施","3.480","3.770","3.410"
"81","CRK","康斯托克能源","14.690","5.46%","39446841","14.380","亏损","3421633287.8","1186222333.01","5.00%","14.59%","54.14%","54.96%","58.81%","188.04%","81.58%","油气E&P","13.930","14.900","14.120"
"82","TK","Teekay","3.480","5.45%","2729106","3.330","43.500","353467570.68","241091633.4","7.08%","6.42%","10.48%","3.26%","-5.18%","9.43%","10.83%","油气中流","3.300","3.500","3.310"
"83","JSPR","Jasper Therapeutics","3.290","5.45%","89017","3.130","亏损","124605298.79","23835645.33","-3.52%","-6.00%","-2.95%","-49.77%","-75.36%","-67.20%","-58.09%","生物技术","3.120","3.333","3.130"
"84","EQT","EQT能源","38.310","5.42%","405743236","36.960","亏损","14405450707.5","14405450707.5","6.33%","11.59%","41.89%","56.25%","92.09%","118.69%","76.67%","油气E&P","36.340","38.730","36.870"
"85","DSX","黛安娜船舶","5.060","5.42%","4679954","4.880","8.295","428430200","307073517.96","-3.44%","-3.25%","2.64%","26.46%","-1.28%","74.37%","35.24%","海运","4.800","5.085","4.810"
"86","MRKR","Marker Therapeutics","0.395","5.41%","127647","0.375","亏损","32841000.227","23632514.793","-8.92%","-24.53%","-5.16%","-51.02%","-74.82%","-81.35%","-58.40%","生物技术","0.375","0.399","0.375"
"87","TAOP","淘屏","1.390","5.30%","31567","1.350","亏损","21563910.95","14887832.69","-0.71%","2.21%","-15.24%","-14.20%","-52.40%","-77.62%","-26.46%","软件-基础设施","1.320","1.420","1.313"
"88","VBLT","Vascular Biogenics","1.890","5.29%","407288","1.780","亏损","131047519.68","87720904.53","9.88%","12.50%","56.20%","9.88%","-13.30%","6.18%","-4.06%","生物技术","1.795","1.890","1.750"
"89","JNUG","每日两倍做多小型金矿指数-Direxion","81.450","5.26%","68631618","78.010","-","480555000","480555000","0.65%","-0.26%","1.52%","29.53%","22.33%","-7.36%","27.01%","-","77.380","82.410","78.010"
"90","TALO","Talos Energy","18.730","5.22%","19327159","18.050","亏损","1545580926.19","1154895583.46","9.85%","12.83%","19.38%","63.87%","51.54%","52.40%","91.12%","油气E&P","17.800","18.950","17.950"
"91","EOG","EOG能源","126.880","5.19%","571859906","122.000","15.879","74277983528.32","74012879568.16","5.44%","1.90%","9.68%","25.44%","47.71%","83.04%","45.13%","油气E&P","120.620","127.945","121.775"
"92","BVN","布埃纳文图拉开采","10.770","5.18%","16735485","10.260","亏损","2735438557.59","2284453358.97","4.36%","0.94%","-1.19%","28.21%","32.31%","2.57%","47.13%","其他贵金属和采矿","10.240","10.920","10.210"
"93","NOV","华高","20.370","5.16%","63141960","19.740","亏损","7998592588.77","7373077004.58","0.74%","2.11%","-3.69%","28.90%","37.35%","48.59%","50.69%","石油和天然气设备和服务","19.370","20.475","19.530"
"94","AR","Antero Resources","33.140","5.14%","229695727","31.930","亏损","10429379308.92","9533187942.6","6.66%","6.08%","24.26%","59.63%","67.29%","249.95%","89.37%","油气E&P","31.520","33.520","31.910"
"95","GTE","Gran Tierra Energy","1.640","5.13%","7735230","1.570","13.666","603015094.84","516382955.84","4.46%","-3.53%","3.80%","90.08%","90.54%","135.67%","115.48%","油气E&P","1.560","1.650","1.565"
"96","GATO","Gatos Silver","4.720","5.12%","5839134","4.680","亏损","326314811.68","219892391.12","6.31%","8.26%","1.94%","-55.05%","-59.03%","-54.53%","-54.53%","其他贵金属和采矿","4.490","4.940","4.670"
"97","CEG","Constellation Energy","64.020","5.11%","302189520","61.220","亏损","20902530000","14576419372.02","10.34%","19.00%","29.81%","69.03%","69.03%","69.03%","69.03%","公用事业-可再生","60.910","64.900","60.900"
"98","MGY","Magnolia Oil & Gas","25.570","5.10%","46415127","24.430","10.834","5731970134.6","4459008673.31","7.17%","0.51%","13.75%","22.23%","24.65%","121.69%","36.81%","油气E&P","24.330","25.820","24.430"
"99","CVM","CEL-SCI","3.920","5.09%","2324677","3.770","亏损","169640892.96","159718267.52","0.26%","-2.00%","-14.78%","-36.36%","-62.38%","-76.65%","-44.79%","生物技术","3.730","3.950","3.750"
"100","DIG","二倍做多美国油气指数","151.720","5.06%","12154663","145.450","-","227580000","227580000","5.52%","0.95%","8.77%","55.91%","87.53%","161.82%","100.18%","-","144.410","152.660","145.450"
"101","HNP","华能电力","17.650","5.06%","287193","17.650","亏损","6926783677.45","3251855220.85","0.97%","2.56%","-17.64%","-19.48%","-9.30%","36.19%","-33.17%","公用事业-独立发电商","16.800","17.650","17.360"
"102","RLX","雾芯科技","1.870","5.06%","14824617","1.810","9.211","2927916665.19","648064525.9","1.08%","-4.59%","25.50%","-51.93%","-68.41%","-79.67%","-52.05%","烟草","1.780","2.010","1.805"
"103","IPI","Intrepid Potash","106.910","5.04%","144309701","104.270","5.729","1455940791.98","918536294.98","29.57%","19.76%","26.99%","149.44%","151.32%","237.04%","150.20%","农业投入","101.780","109.840","98.520"
"104","CDEV","Centennial Resource Development","9.420","5.02%","115348649","9.000","20.478","2684616633","1906411216.2","7.29%","8.90%","17.60%","28.34%","39.35%","103.02%","57.53%","油气E&P","8.970","9.550","9.000"
"105","MTCR","Metacrine","0.576","4.99%","1169637","0.554","亏损","24290398.111","20083660.029","-4.32%","1.07%","21.36%","4.63%","-83.45%","-87.82%","-14.55%","生物技术","0.549","0.615","0.530"
"106","TNYA","Tenaya Therapeutics","13.920","4.98%","1185128","13.250","亏损","574813217.76","302702315.52","11.36%","20.00%","19.69%","20.42%","-33.75%","-7.20%","-26.54%","生物技术","13.260","14.210","12.620"
"107","PTEN","Patterson-UTI Energy","16.260","4.97%","67573223","15.660","亏损","3500221664.1","3434993243.22","2.59%","0.99%","0.93%","63.39%","73.41%","129.98%","92.97%","油气钻井","15.490","16.290","15.540"
"108","APA","阿帕奇石油","43.020","4.93%","281486482","41.370","16.610","14918319824.58","14051867727.96","1.89%","3.59%","10.17%","32.27%","60.86%","140.06%","60.73%","油气E&P","41.000","43.395","41.300"
"109","NUGT","每日两倍做多金矿指数ETF-Direxion","75.330","4.92%","201021409","72.700","-","768366000","768366000","0.49%","4.41%","6.08%","50.78%","48.35%","24.55%","47.30%","-","71.800","75.970","72.700"
"110","EXK","Endeavour Silver","4.910","4.91%","14730333","4.690","61.375","883282765.87","797976504.43","1.87%","-0.20%","-11.85%","12.87%","8.15%","-8.05%","16.35%","其他贵金属和采矿","4.680","4.940","4.680"
"111","SILX","ETFMG PRIME 2X DAILY JUNIOR SILVER MINERS ETF","6.155","4.90%","100561","5.910","-","3077600","3077600","-1.04%","-3.39%","-2.61%","24.07%","13.60%","-39.42%","22.74%","-","5.868","6.220","5.910"
"112","AMPY","Amplify Energy","6.210","4.90%","4096629","5.920","亏损","236378768.94","214448023.53","7.44%","-1.58%","1.47%","68.29%","56.03%","141.63%","99.68%","油气E&P","5.920","6.290","5.900"
"113","FSM","Fortuna Silver Mines","4.090","4.87%","19450942","3.900","17.782","1193787388.13","1181045107.65","3.28%","6.51%","-4.22%","6.79%","-8.71%","-43.27%","4.87%","白银","3.900","4.110","3.870"
"114","GASS","斯蒂加斯海运","2.370","4.87%","511996","2.220","7.645","90539168.97","44031168.24","0.05%","-12.87%","7.24%","6.28%","-8.85%","-13.50%","12.32%","海运","2.260","2.472","2.220"
"115","WEBS","Direxion每日道琼斯互联网指数三倍做空ETF","25.470","4.86%","6364692","24.530","-","25470000","25470000","14.16%","7.11%","-26.09%","30.43%","80.89%","33.21%","49.71%","-","24.290","25.560","24.370"
"116","AGRO","Adecoagro","12.380","4.83%","26140697","11.860","10.518","1375378037.36","786477977.04","0.32%","0.81%","1.64%","61.20%","28.42%","42.79%","61.20%","农产品","11.810","12.500","11.860"
"117","BEKE","贝壳","15.220","4.82%","156337307","14.720","亏损","18219418154.36","8022848374.92","8.64%","25.47%","51.59%","-33.19%","-30.06%","-69.20%","-24.35%","房地产服务","14.520","15.535","14.610"
"118","REED","Reed's Inc","0.272","4.81%","199949","0.264","亏损","30574565.852","23587731.08","8.23%","0.11%","-6.52%","-24.89%","-55.39%","-74.80%","-24.11%","饮料-不含酒精","0.260","0.276","0.251"
"119","STSA","Satsuma Pharmaceuticals","3.930","4.80%","101621","3.800","亏损","123974066.52","44002245","13.91%","0.77%","-0.76%","-11.69%","-21.24%","-25.14%","-12.67%","生物技术","3.750","3.930","3.642"
"120","STAB","Statera Biopharma","0.282","4.80%","760720","0.261","亏损","10553913.599","5816024.398","-0.60%","-16.46%","-62.93%","-85.63%","-91.09%","-95.69%","-87.75%","生物技术","0.269","0.292","0.255"
"121","CPG","新月点能源","7.300","4.73%","67043627","6.960","2.255","4194593760.5","4183629175.1","-0.95%","-7.12%","1.75%","8.52%","48.61%","82.17%","37.38%","油气E&P","6.970","7.330","6.950"
"122","ROVR","Rover Group","5.760","4.73%","2412372","5.540","亏损","1038306931.2","579380734.08","-4.32%","-0.35%","14.97%","-26.44%","-52.44%","-41.88%","-40.92%","个人服务","5.500","5.790","5.530"
"123","OIS","Oil States International","7.120","4.71%","6752473","6.830","亏损","440672627.76","419831212.96","-1.66%","-2.20%","-3.91%","17.11%","2.59%","16.34%","43.26%","石油和天然气设备和服务","6.800","7.190","6.810"
"124","AMRX","Amneal Pharmaceuticals","4.460","4.69%","6802370","4.260","63.714","1350292032.06","419685558.46","3.72%","7.47%","8.25%","-5.71%","-20.07%","-23.37%","-6.89%","药品制造商-专业和非专利","4.260","4.600","4.206"
"125","ERO","Ero Copper","16.060","4.69%","1161785","15.250","7.266","1449164110.68","1182369095.16","3.08%","10.30%","8.37%","22.22%","-21.58%","-27.95%","5.04%","铜","15.340","16.090","15.250"
"126","GOGO","Gogo Inc","19.970","4.66%","44558110","18.890","15.601","2214241288.54","905341108.26","5.11%","4.12%","17.19%","49.81%","20.81%","86.11%","47.60%","电信业务","19.080","20.430","18.810"
"127","CPSS","Consumer Portfolio Services","11.680","4.66%","1329659","11.160","6.347","248403255.36","118533347.04","14.29%","2.46%","6.67%","10.19%","84.23%","195.70%","-1.43%","信贷服务","11.160","11.990","11.160"
"128","NGS","Natural Gas Services","11.850","4.59%","374260","11.360","亏损","150702209.1","123224950.5","0.42%","-6.55%","-5.58%","3.86%","-6.62%","29.93%","13.18%","石油和天然气设备和服务","11.330","12.000","11.343"
"129","DBI","Designer Brands","14.590","4.59%","39472196","14.340","7.295","1054633685.46","831068036.97","7.68%","6.57%","17.66%","2.96%","9.21%","-17.62%","2.67%","服装零售","13.950","14.970","14.260"
